schedtime,carrier,distance,flightnumber,weather,dayweek,daymonth,delay
1300,1,199,808,0,4,1,0
1730,1,199,814,0,4,1,0
1730,1,199,814,0,5,2,0
1300,1,199,808,0,5,2,0
759,1,199,806,0,5,2,0
1300,1,199,808,0,6,3,0
1300,1,199,808,0,7,4,0
1630,1,199,810,0,7,4,1
1300,1,199,808,0,1,5,1
759,1,199,806,0,1,5,0
1730,1,199,814,0,1,5,1
1730,1,199,814,0,2,6,1
1300,1,199,808,0,2,6,0
1900,1,199,816,0,2,6,1
735,1,199,806,0,2,6,0
1300,1,199,808,0,3,7,0
1900,1,199,816,0,3,7,1
1730,1,199,814,0,3,7,1
735,1,199,806,0,3,7,0
1730,1,199,814,0,4,8,0
735,1,199,806,0,4,8,0
1300,1,199,808,0,4,8,0
1900,1,199,816,0,4,8,0
1730,1,199,814,0,5,9,0
1900,1,199,816,0,5,9,0
1300,1,199,808,0,5,9,0
735,1,199,806,0,5,9,0
1300,1,199,808,0,6,10,0
1900,1,199,816,0,7,11,0
1300,1,199,1767,0,7,11,0
1630,1,199,810,0,7,11,0
735,1,199,806,0,1,12,0
1300,1,199,808,0,1,12,0
1730,1,199,814,0,1,12,1
1900,1,199,816,0,1,12,0
735,1,199,806,0,2,13,0
1730,1,199,814,0,2,13,1
1900,1,199,816,0,2,13,1
1300,1,199,808,0,2,13,0
1300,1,199,808,0,3,14,0
1900,1,199,816,0,3,14,0
735,1,199,806,0,3,14,0
1730,1,199,814,0,3,14,1
735,1,199,806,0,4,15,1
1900,1,199,816,0,4,15,1
1300,1,199,808,0,4,15,0
1300,1,199,808,0,5,16,1
1730,1,199,814,0,5,16,1
735,1,199,806,0,5,16,0
1300,1,199,808,0,6,17,0
1300,1,199,1767,0,7,18,0
1630,1,199,810,0,7,18,1
1900,1,199,816,0,7,18,1
1730,1,199,814,0,1,19,1
1300,1,199,808,0,1,19,0
735,1,199,806,0,1,19,0
1900,1,199,816,0,1,19,0
1900,1,199,816,0,2,20,0
1730,1,199,814,0,2,20,0
1300,1,199,808,0,2,20,0
735,1,199,806,0,2,20,0
1730,1,199,814,0,3,21,1
1900,1,199,816,0,3,21,0
1300,1,199,808,0,3,21,0
735,1,199,806,0,3,21,0
1300,1,199,808,0,4,22,0
735,1,199,806,0,4,22,0
1900,1,199,816,0,4,22,0
1730,1,199,814,0,4,22,1
1730,1,199,814,0,5,23,0
1300,1,199,808,0,5,23,0
735,1,199,806,0,5,23,0
1900,1,199,816,0,5,23,1
1300,1,199,808,0,6,24,0
1630,1,199,810,0,7,25,0
1300,1,199,1767,0,7,25,0
1900,1,199,816,0,7,25,0
735,1,199,806,1,1,26,1
1900,1,199,816,0,1,26,1
1300,1,199,808,0,1,26,0
1730,1,199,814,1,2,27,1
1300,1,199,808,0,2,27,1
1730,1,199,814,0,3,28,0
1900,1,199,816,0,3,28,1
1300,1,199,808,0,3,28,0
1300,1,199,808,0,4,29,0
1730,1,199,814,0,4,29,0
735,1,199,806,0,4,29,0
1900,1,199,816,0,4,29,0
1730,1,199,814,0,5,30,0
1300,1,199,808,0,5,30,0
1900,1,199,816,0,5,30,0
735,1,199,806,0,5,30,0
1300,1,199,808,0,6,31,0
1640,2,213,6155,0,4,1,0
1245,2,229,7208,0,4,1,0
1715,2,229,7215,0,4,1,0
1039,2,229,7792,0,4,1,0
840,2,228,7800,0,4,1,0
1240,2,228,7806,0,4,1,0
1645,2,228,7810,0,4,1,0
1715,2,228,7812,0,4,1,0
2120,2,228,7814,0,4,1,0
2120,2,229,7924,0,4,1,0
840,2,213,7299,0,4,1,0
1710,2,213,7302,0,4,1,0
1245,2,213,7303,0,4,1,0
2120,2,213,7304,0,4,1,0
1640,2,213,6155,0,5,2,0
1245,2,229,7208,0,5,2,0
1455,2,229,7211,0,5,2,1
1715,2,229,7215,0,5,2,0
640,2,229,7790,0,5,2,0
1039,2,229,7792,0,5,2,1
840,2,228,7800,0,5,2,0
1240,2,228,7806,0,5,2,0
1455,2,228,7808,0,5,2,0
1645,2,228,7810,0,5,2,0
1715,2,228,7812,0,5,2,0
2120,2,228,7814,0,5,2,1
1610,2,228,7816,0,5,2,0
2120,2,229,7924,0,5,2,0
840,2,213,7299,0,5,2,0
1245,2,213,7303,0,5,2,1
1430,2,213,7307,0,5,2,1
630,2,213,7371,0,5,2,0
1245,2,229,7208,0,6,3,0
1715,2,229,7215,0,6,3,0
640,2,229,7790,0,6,3,0
1039,2,229,7792,0,6,3,0
840,2,228,7800,0,6,3,0
1240,2,228,7806,0,6,3,0
1455,2,228,7808,0,6,3,0
1645,2,228,7810,0,6,3,0
1715,2,228,7812,0,6,3,0
2120,2,228,7814,0,6,3,1
1610,2,228,7816,0,6,3,0
2120,2,229,7924,0,6,3,0
840,2,213,7299,0,6,3,1
1710,2,213,7302,0,6,3,0
1245,2,213,7303,0,6,3,1
2120,2,213,7304,0,6,3,0
630,2,213,7371,0,6,3,0
1640,2,213,6155,0,7,4,0
1245,2,229,7208,0,7,4,0
1455,2,229,7211,0,7,4,1
1715,2,229,7215,0,7,4,1
640,2,229,7790,0,7,4,0
1039,2,229,7792,0,7,4,0
840,2,228,7800,0,7,4,0
1240,2,228,7806,0,7,4,0
1455,2,228,7808,0,7,4,0
1645,2,228,7810,0,7,4,0
1715,2,228,7812,0,7,4,0
2120,2,228,7814,0,7,4,0
1610,2,228,7816,0,7,4,0
2120,2,229,7924,0,7,4,0
840,2,213,7299,0,7,4,0
1710,2,213,7302,0,7,4,1
1245,2,213,7303,0,7,4,1
2120,2,213,7304,0,7,4,1
1430,2,213,7307,0,7,4,1
1640,2,213,6155,0,1,5,1
1245,2,229,7208,0,1,5,1
1455,2,229,7211,0,1,5,1
1715,2,229,7215,0,1,5,1
640,2,229,7790,0,1,5,1
1039,2,229,7792,0,1,5,0
840,2,228,7800,0,1,5,1
1240,2,228,7806,0,1,5,1
1645,2,228,7810,0,1,5,0
1715,2,228,7812,0,1,5,0
2120,2,228,7814,0,1,5,1
1610,2,228,7816,0,1,5,1
2120,2,229,7924,0,1,5,0
840,2,213,7299,0,1,5,0
1710,2,213,7302,0,1,5,1
1245,2,213,7303,0,1,5,1
2120,2,213,7304,0,1,5,1
1430,2,213,7307,0,1,5,1
630,2,213,7371,0,1,5,0
1245,2,229,7208,0,2,6,0
1455,2,229,7211,0,2,6,0
1715,2,229,7215,0,2,6,0
640,2,229,7790,0,2,6,0
1039,2,229,7792,0,2,6,0
840,2,228,7800,0,2,6,0
1240,2,228,7806,0,2,6,0
1455,2,228,7808,0,2,6,0
1645,2,228,7810,0,2,6,0
1715,2,228,7812,0,2,6,1
2120,2,228,7814,0,2,6,1
1610,2,228,7816,0,2,6,0
2120,2,229,7924,0,2,6,0
840,2,213,7299,0,2,6,0
1710,2,213,7302,0,2,6,0
1245,2,213,7303,0,2,6,0
2120,2,213,7304,0,2,6,0
1430,2,213,7307,0,2,6,0
630,2,213,7371,0,2,6,0
1640,2,213,6155,0,3,7,0
1245,2,229,7208,0,3,7,0
1455,2,229,7211,0,3,7,0
1715,2,229,7215,0,3,7,1
640,2,229,7790,0,3,7,0
1040,2,229,7792,0,3,7,0
840,2,228,7800,0,3,7,0
1240,2,228,7806,0,3,7,0
1455,2,228,7808,0,3,7,0
1645,2,228,7810,0,3,7,0
1715,2,228,7812,0,3,7,1
2120,2,228,7814,0,3,7,0
1610,2,228,7816,0,3,7,0
840,2,213,7299,0,3,7,0
1710,2,213,7302,0,3,7,0
1245,2,213,7303,0,3,7,1
2120,2,213,7304,0,3,7,0
630,2,213,7305,0,3,7,0
1430,2,213,7307,0,3,7,0
1640,2,213,6155,0,4,8,1
1245,2,229,7208,0,4,8,0
1455,2,229,7211,0,4,8,1
1715,2,229,7215,0,4,8,1
2120,2,229,7684,0,4,8,1
640,2,229,7790,0,4,8,0
1040,2,229,7792,0,4,8,0
840,2,228,7800,0,4,8,0
1240,2,228,7806,0,4,8,0
1455,2,228,7808,0,4,8,0
1645,2,228,7810,0,4,8,0
1715,2,228,7812,0,4,8,0
2120,2,228,7814,0,4,8,0
1610,2,228,7816,0,4,8,0
840,2,213,7299,0,4,8,0
1710,2,213,7302,0,4,8,0
1245,2,213,7303,0,4,8,0
2120,2,213,7304,0,4,8,0
630,2,213,7305,0,4,8,0
1430,2,213,7307,0,4,8,0
1640,2,213,6155,0,5,9,0
1245,2,229,7208,0,5,9,0
1455,2,229,7211,0,5,9,1
1715,2,229,7215,0,5,9,1
2120,2,229,7684,0,5,9,0
640,2,229,7790,0,5,9,1
1040,2,229,7792,0,5,9,0
840,2,228,7800,0,5,9,1
1240,2,228,7806,0,5,9,0
1455,2,228,7808,0,5,9,0
1645,2,228,7810,0,5,9,0
1715,2,228,7812,0,5,9,0
2120,2,228,7814,0,5,9,0
1610,2,228,7816,0,5,9,0
840,2,213,7299,0,5,9,0
1710,2,213,7302,0,5,9,0
1245,2,213,7303,0,5,9,0
2120,2,213,7304,0,5,9,0
630,2,213,7305,0,5,9,0
1430,2,213,7307,0,5,9,0
1640,2,213,6155,0,6,10,1
1245,2,229,7208,0,6,10,0
1715,2,229,7215,0,6,10,0
2120,2,229,7684,0,6,10,0
840,2,228,7800,0,6,10,1
1240,2,228,7806,0,6,10,1
1645,2,228,7810,0,6,10,0
1715,2,228,7812,0,6,10,0
2120,2,228,7814,0,6,10,0
1800,2,228,7818,0,6,10,0
840,2,213,7299,0,6,10,0
1710,2,213,7302,0,6,10,0
1245,2,213,7303,0,6,10,0
2120,2,213,7304,0,6,10,0
1640,2,213,6155,0,7,11,0
1245,2,229,7208,0,7,11,0
1455,2,229,7211,0,7,11,0
1715,2,229,7215,0,7,11,0
2120,2,229,7684,0,7,11,0
840,2,228,7800,0,7,11,0
1240,2,228,7806,0,7,11,0
1455,2,228,7808,0,7,11,1
1645,2,228,7810,0,7,11,0
1715,2,228,7812,0,7,11,0
2120,2,228,7814,0,7,11,1
1610,2,228,7816,0,7,11,0
840,2,213,7299,0,7,11,0
1710,2,213,7302,0,7,11,0
1245,2,213,7303,0,7,11,0
2120,2,213,7304,0,7,11,0
1430,2,213,7307,0,7,11,1
1640,2,213,6155,0,1,12,0
1245,2,229,7208,0,1,12,0
1455,2,229,7211,0,1,12,0
1715,2,229,7215,0,1,12,0
2120,2,229,7684,0,1,12,0
640,2,229,7790,0,1,12,1
1040,2,229,7792,0,1,12,0
840,2,228,7800,0,1,12,0
1240,2,228,7806,0,1,12,0
1455,2,228,7808,0,1,12,1
1645,2,228,7810,0,1,12,0
1715,2,228,7812,0,1,12,0
2120,2,228,7814,0,1,12,0
840,2,213,7299,0,1,12,0
1710,2,213,7302,0,1,12,0
1245,2,213,7303,0,1,12,1
2120,2,213,7304,0,1,12,0
630,2,213,7305,0,1,12,0
1430,2,213,7307,0,1,12,0
1640,2,213,6155,0,2,13,0
1245,2,229,7208,0,2,13,0
1715,2,229,7215,0,2,13,1
2120,2,229,7684,0,2,13,0
640,2,229,7790,0,2,13,1
1040,2,229,7792,0,2,13,0
840,2,228,7800,0,2,13,0
1240,2,228,7806,0,2,13,0
1455,2,228,7808,0,2,13,0
1645,2,228,7810,0,2,13,0
1715,2,228,7812,0,2,13,0
2120,2,228,7814,0,2,13,0
1610,2,228,7816,0,2,13,1
840,2,213,7299,0,2,13,0
1710,2,213,7302,0,2,13,0
1245,2,213,7303,0,2,13,0
2120,2,213,7304,0,2,13,0
630,2,213,7305,0,2,13,0
1430,2,213,7307,0,2,13,1
1640,2,213,6155,0,3,14,0
1245,2,229,7208,0,3,14,0
1715,2,229,7215,0,3,14,0
2120,2,229,7684,0,3,14,0
640,2,229,7790,0,3,14,0
1040,2,229,7792,0,3,14,0
840,2,228,7800,0,3,14,0
1240,2,228,7806,0,3,14,0
1455,2,228,7808,0,3,14,0
1645,2,228,7810,0,3,14,0
1715,2,228,7812,0,3,14,0
2120,2,228,7814,0,3,14,0
1610,2,228,7816,0,3,14,0
840,2,213,7299,0,3,14,0
1710,2,213,7302,0,3,14,0
1245,2,213,7303,0,3,14,0
2120,2,213,7304,0,3,14,1
630,2,213,7305,0,3,14,0
1430,2,213,7307,0,3,14,1
1640,2,213,6155,0,4,15,0
1245,2,229,7208,0,4,15,0
1455,2,229,7211,0,4,15,1
2120,2,229,7684,0,4,15,1
840,2,228,7800,0,4,15,0
1240,2,228,7806,0,4,15,0
1455,2,228,7808,0,4,15,0
1645,2,228,7810,0,4,15,0
1715,2,228,7812,0,4,15,0
2120,2,228,7814,0,4,15,0
1610,2,228,7816,0,4,15,0
840,2,213,7299,0,4,15,0
1245,2,213,7303,0,4,15,0
2120,2,213,7304,0,4,15,0
630,2,213,7305,0,4,15,0
1640,2,213,6155,0,5,16,0
1455,2,229,7211,0,5,16,1
1715,2,229,7215,0,5,16,1
2120,2,229,7684,0,5,16,0
640,2,229,7790,0,5,16,0
840,2,228,7800,0,5,16,0
1240,2,228,7806,0,5,16,0
1455,2,228,7808,0,5,16,0
1645,2,228,7810,0,5,16,0
1715,2,228,7812,0,5,16,0
2120,2,228,7814,0,5,16,0
1610,2,228,7816,0,5,16,0
840,2,213,7299,0,5,16,0
1710,2,213,7302,0,5,16,0
1245,2,213,7303,0,5,16,0
2120,2,213,7304,0,5,16,0
630,2,213,7305,0,5,16,1
1640,2,213,6155,0,6,17,0
1245,2,229,7208,0,6,17,0
1715,2,229,7215,0,6,17,0
2120,2,229,7684,0,6,17,1
840,2,228,7800,0,6,17,0
1240,2,228,7806,0,6,17,0
1645,2,228,7810,0,6,17,0
1715,2,228,7812,0,6,17,1
2120,2,228,7814,0,6,17,1
1800,2,228,7818,0,6,17,1
840,2,213,7299,0,6,17,0
1710,2,213,7302,0,6,17,0
1245,2,213,7303,0,6,17,0
2120,2,213,7304,0,6,17,1
1640,2,213,6155,0,7,18,1
1245,2,229,7208,0,7,18,0
1455,2,229,7211,0,7,18,1
1715,2,229,7215,0,7,18,1
2120,2,229,7684,0,7,18,0
840,2,228,7800,0,7,18,0
1240,2,228,7806,0,7,18,0
1455,2,228,7808,0,7,18,1
1645,2,228,7810,0,7,18,0
1715,2,228,7812,0,7,18,1
2120,2,228,7814,0,7,18,0
1610,2,228,7816,0,7,18,1
840,2,213,7299,0,7,18,0
1710,2,213,7302,0,7,18,1
1245,2,213,7303,0,7,18,1
2120,2,213,7304,0,7,18,0
1640,2,213,6155,0,1,19,0
1245,2,229,7208,0,1,19,0
1455,2,229,7211,0,1,19,0
1715,2,229,7215,0,1,19,0
2120,2,229,7684,0,1,19,1
640,2,229,7790,0,1,19,1
1040,2,229,7792,0,1,19,0
840,2,228,7800,0,1,19,0
1240,2,228,7806,0,1,19,0
1455,2,228,7808,0,1,19,0
1645,2,228,7810,0,1,19,0
1715,2,228,7812,0,1,19,0
2120,2,228,7814,0,1,19,0
1610,2,228,7816,0,1,19,0
840,2,213,7299,0,1,19,0
1710,2,213,7302,0,1,19,0
1245,2,213,7303,0,1,19,0
2120,2,213,7304,0,1,19,1
630,2,213,7305,0,1,19,0
1430,2,213,7307,0,1,19,0
1640,2,213,6155,0,2,20,0
1245,2,229,7208,0,2,20,0
1455,2,229,7211,0,2,20,0
1715,2,229,7215,0,2,20,0
2120,2,229,7684,0,2,20,0
640,2,229,7790,0,2,20,0
1040,2,229,7792,0,2,20,0
840,2,228,7800,0,2,20,0
1240,2,228,7806,0,2,20,1
1455,2,228,7808,0,2,20,0
1645,2,228,7810,0,2,20,0
1715,2,228,7812,0,2,20,0
2120,2,228,7814,0,2,20,0
1610,2,228,7816,0,2,20,0
840,2,213,7299,0,2,20,0
1710,2,213,7302,0,2,20,0
1245,2,213,7303,0,2,20,0
2120,2,213,7304,0,2,20,0
630,2,213,7305,0,2,20,0
1430,2,213,7307,0,2,20,0
1245,2,229,7208,0,3,21,0
1455,2,229,7211,0,3,21,0
1715,2,229,7215,0,3,21,0
2120,2,229,7684,0,3,21,1
640,2,229,7790,0,3,21,1
1040,2,229,7792,0,3,21,0
840,2,228,7800,0,3,21,0
1240,2,228,7806,0,3,21,0
1455,2,228,7808,0,3,21,0
1645,2,228,7810,0,3,21,0
1715,2,228,7812,0,3,21,0
2120,2,228,7814,0,3,21,0
1610,2,228,7816,0,3,21,0
840,2,213,7299,0,3,21,0
1710,2,213,7302,0,3,21,1
1245,2,213,7303,0,3,21,0
2120,2,213,7304,0,3,21,0
630,2,213,7305,0,3,21,0
1430,2,213,7307,0,3,21,0
1640,2,213,6155,0,4,22,0
1245,2,229,7208,0,4,22,1
1455,2,229,7211,0,4,22,1
1715,2,229,7215,0,4,22,0
2120,2,229,7684,0,4,22,0
640,2,229,7790,0,4,22,0
1040,2,229,7792,0,4,22,0
840,2,228,7800,0,4,22,0
1240,2,228,7806,0,4,22,0
1455,2,228,7808,0,4,22,0
1645,2,228,7810,0,4,22,0
1715,2,228,7812,0,4,22,0
2120,2,228,7814,0,4,22,0
1610,2,228,7816,0,4,22,0
840,2,213,7299,0,4,22,0
1710,2,213,7302,0,4,22,0
1245,2,213,7303,0,4,22,0
2120,2,213,7304,0,4,22,0
630,2,213,7305,0,4,22,0
1430,2,213,7307,0,4,22,0
1640,2,213,6155,0,5,23,0
1245,2,229,7208,0,5,23,1
1715,2,229,7215,0,5,23,0
2120,2,229,7684,0,5,23,1
640,2,229,7790,0,5,23,0
1040,2,229,7792,0,5,23,0
840,2,228,7800,0,5,23,0
1240,2,228,7806,0,5,23,0
1455,2,228,7808,0,5,23,0
1645,2,228,7810,0,5,23,0
1715,2,228,7812,0,5,23,0
2120,2,228,7814,0,5,23,0
1610,2,228,7816,0,5,23,0
840,2,213,7299,0,5,23,0
1710,2,213,7302,0,5,23,1
1245,2,213,7303,0,5,23,0
2120,2,213,7304,0,5,23,1
630,2,213,7305,0,5,23,0
1430,2,213,7307,0,5,23,0
1640,2,213,6155,0,6,24,0
1245,2,229,7208,0,6,24,0
1715,2,229,7215,0,6,24,0
2120,2,229,7684,0,6,24,0
840,2,228,7800,0,6,24,0
1240,2,228,7806,0,6,24,0
1645,2,228,7810,0,6,24,0
1715,2,228,7812,0,6,24,1
2120,2,228,7814,0,6,24,0
1800,2,228,7818,0,6,24,0
840,2,213,7299,0,6,24,0
1710,2,213,7302,0,6,24,0
1245,2,213,7303,0,6,24,0
2120,2,213,7304,0,6,24,0
1640,2,213,6155,0,7,25,0
1245,2,229,7208,0,7,25,0
1455,2,229,7211,0,7,25,0
1715,2,229,7215,0,7,25,1
2120,2,229,7684,0,7,25,1
840,2,228,7800,0,7,25,0
1240,2,228,7806,0,7,25,1
1455,2,228,7808,0,7,25,0
1645,2,228,7810,0,7,25,0
1715,2,228,7812,0,7,25,1
2120,2,228,7814,1,7,25,1
1610,2,228,7816,0,7,25,0
840,2,213,7299,0,7,25,0
1710,2,213,7302,0,7,25,0
1245,2,213,7303,0,7,25,0
2120,2,213,7304,0,7,25,1
1430,2,213,7307,0,7,25,1
1245,2,229,7208,0,1,26,0
1455,2,229,7211,0,1,26,1
1715,2,229,7215,0,1,26,1
2120,2,229,7684,0,1,26,1
640,2,229,7790,0,1,26,1
1040,2,229,7792,0,1,26,1
840,2,228,7800,0,1,26,0
1240,2,228,7806,0,1,26,0
1455,2,228,7808,0,1,26,1
1645,2,228,7810,0,1,26,1
1715,2,228,7812,0,1,26,1
2120,2,228,7814,0,1,26,0
1610,2,228,7816,0,1,26,0
840,2,213,7299,0,1,26,0
1245,2,213,7303,0,1,26,1
2120,2,213,7304,0,1,26,1
630,2,213,7305,0,1,26,0
1430,2,213,7307,1,1,26,1
1640,2,213,6155,0,2,27,1
1245,2,229,7208,1,2,27,1
1455,2,229,7211,1,2,27,1
1715,2,229,7215,1,2,27,1
640,2,229,7790,1,2,27,1
1040,2,229,7792,0,2,27,0
840,2,228,7800,0,2,27,1
1240,2,228,7806,0,2,27,1
1455,2,228,7808,1,2,27,1
1715,2,228,7812,1,2,27,1
2120,2,228,7814,1,2,27,1
840,2,213,7299,0,2,27,1
1710,2,213,7302,1,2,27,1
1245,2,213,7303,0,2,27,1
2120,2,213,7304,0,2,27,1
1430,2,213,7307,1,2,27,1
1640,2,213,6155,0,3,28,0
1245,2,229,7208,0,3,28,0
1455,2,229,7211,0,3,28,1
1715,2,229,7215,0,3,28,0
2120,2,229,7684,0,3,28,1
640,2,229,7790,0,3,28,0
1040,2,229,7792,0,3,28,0
840,2,228,7800,0,3,28,1
1240,2,228,7806,0,3,28,1
1455,2,228,7808,0,3,28,0
1645,2,228,7810,0,3,28,0
1715,2,228,7812,0,3,28,1
2120,2,228,7814,0,3,28,0
1610,2,228,7816,0,3,28,0
840,2,213,7299,0,3,28,0
1710,2,213,7302,0,3,28,1
1245,2,213,7303,0,3,28,1
2120,2,213,7304,0,3,28,0
630,2,213,7305,0,3,28,0
1430,2,213,7307,0,3,28,0
1640,2,213,6155,0,4,29,0
1245,2,229,7208,0,4,29,1
1455,2,229,7211,0,4,29,1
1715,2,229,7215,0,4,29,1
2120,2,229,7684,0,4,29,0
640,2,229,7790,0,4,29,1
840,2,228,7800,0,4,29,0
1240,2,228,7806,0,4,29,0
1455,2,228,7808,0,4,29,0
1645,2,228,7810,0,4,29,0
1715,2,228,7812,0,4,29,0
2120,2,228,7814,0,4,29,0
1610,2,228,7816,0,4,29,0
840,2,213,7299,0,4,29,1
1710,2,213,7302,0,4,29,0
1245,2,213,7303,0,4,29,0
2120,2,213,7304,0,4,29,1
630,2,213,7305,0,4,29,0
1430,2,213,7307,0,4,29,0
1640,2,213,6155,0,5,30,0
1245,2,229,7208,0,5,30,0
1455,2,229,7211,0,5,30,1
1715,2,229,7215,0,5,30,0
2120,2,229,7684,0,5,30,0
640,2,229,7790,0,5,30,0
1040,2,229,7792,0,5,30,0
840,2,228,7800,0,5,30,0
1240,2,228,7806,0,5,30,0
1455,2,228,7808,0,5,30,0
1645,2,228,7810,0,5,30,0
1715,2,228,7812,0,5,30,0
2120,2,228,7814,0,5,30,1
1610,2,228,7816,0,5,30,0
840,2,213,7299,0,5,30,0
1710,2,213,7302,0,5,30,0
1245,2,213,7303,0,5,30,1
2120,2,213,7304,0,5,30,0
630,2,213,7305,0,5,30,0
1430,2,213,7307,0,5,30,0
1640,2,213,6155,0,6,31,0
1245,2,229,7208,0,6,31,0
1715,2,229,7215,0,6,31,0
2120,2,229,7684,0,6,31,0
840,2,228,7800,0,6,31,1
1240,2,228,7806,0,6,31,0
1645,2,228,7810,0,6,31,0
1715,2,228,7812,0,6,31,0
2120,2,228,7814,0,6,31,0
1800,2,228,7818,0,6,31,0
840,2,213,7299,0,6,31,0
1710,2,213,7302,0,6,31,0
1245,2,213,7303,0,6,31,0
2120,2,213,7304,0,6,31,0
1455,3,213,746,0,4,1,0
930,3,214,1746,0,4,1,0
1230,3,214,1752,0,4,1,0
1430,3,214,1756,0,4,1,0
1730,3,214,1762,0,4,1,0
2030,3,214,1768,0,4,1,0
1455,3,213,746,0,5,2,0
930,3,214,1746,0,5,2,0
1230,3,214,1752,0,5,2,0
1430,3,214,1756,0,5,2,0
1730,3,214,1762,0,5,2,0
2030,3,214,1768,0,5,2,0
1455,3,213,746,0,6,3,1
830,3,214,1744,0,6,3,0
1030,3,214,1748,0,6,3,0
1230,3,214,1752,0,6,3,0
1430,3,214,1756,0,6,3,0
1630,3,214,1760,0,6,3,0
1830,3,214,1764,0,6,3,0
2030,3,214,1768,0,6,3,0
1455,3,213,746,0,7,4,0
830,3,214,1744,0,7,4,0
1030,3,214,1748,0,7,4,0
1230,3,214,1752,0,7,4,0
1430,3,214,1756,0,7,4,0
1630,3,214,1760,0,7,4,0
1830,3,214,1764,0,7,4,0
2030,3,214,1768,0,7,4,0
1455,3,213,746,0,1,5,0
630,3,214,1740,0,1,5,0
730,3,214,1742,0,1,5,0
830,3,214,1744,0,1,5,0
930,3,214,1746,0,1,5,0
1030,3,214,1748,0,1,5,0
1130,3,214,1750,0,1,5,0
1230,3,214,1752,0,1,5,0
1330,3,214,1754,0,1,5,0
1430,3,214,1756,0,1,5,0
1630,3,214,1760,0,1,5,0
1730,3,214,1762,0,1,5,0
1830,3,214,1764,0,1,5,0
1930,3,214,1766,0,1,5,1
2030,3,214,1768,0,1,5,0
1455,3,213,746,0,2,6,0
630,3,214,1740,0,2,6,0
730,3,214,1742,0,2,6,0
830,3,214,1744,0,2,6,0
930,3,214,1746,0,2,6,0
1030,3,214,1748,0,2,6,0
1130,3,214,1750,0,2,6,0
1230,3,214,1752,0,2,6,0
1330,3,214,1754,0,2,6,0
1430,3,214,1756,0,2,6,0
1530,3,214,1758,0,2,6,0
1630,3,214,1760,0,2,6,0
1730,3,214,1762,0,2,6,0
1830,3,214,1764,0,2,6,0
1930,3,214,1766,0,2,6,0
2030,3,214,1768,0,2,6,0
1455,3,213,746,0,3,7,0
630,3,214,1740,0,3,7,0
830,3,214,1744,0,3,7,0
930,3,214,1746,0,3,7,0
1030,3,214,1748,0,3,7,0
1130,3,214,1750,0,3,7,0
1230,3,214,1752,0,3,7,0
1330,3,214,1754,0,3,7,0
1430,3,214,1756,0,3,7,0
1530,3,214,1758,0,3,7,0
1630,3,214,1760,0,3,7,0
1730,3,214,1762,0,3,7,0
1830,3,214,1764,0,3,7,0
1930,3,214,1766,0,3,7,0
2030,3,214,1768,0,3,7,0
1455,3,213,746,0,4,8,1
630,3,214,1740,0,4,8,0
730,3,214,1742,0,4,8,0
830,3,214,1744,0,4,8,0
930,3,214,1746,0,4,8,0
1030,3,214,1748,0,4,8,0
1130,3,214,1750,0,4,8,0
1230,3,214,1752,0,4,8,0
1330,3,214,1754,0,4,8,0
1430,3,214,1756,0,4,8,0
1530,3,214,1758,0,4,8,0
1630,3,214,1760,0,4,8,0
1730,3,214,1762,0,4,8,0
1830,3,214,1764,0,4,8,0
1930,3,214,1766,0,4,8,0
2030,3,214,1768,0,4,8,0
